Item,Quantity,Designator,Manufacturer,Manufacturer Part Number
1,1,CN1,Hirose,DF17(3.0)-20DS-0.5V(57)
2,1,CN2,JST Sales America Inc.,BM03B-ADHKS-GAN-ETB
3,2,"CN3, CN5",JST Sales America Inc.,S2B-ZR-SM4A-TF
4,1,CN4,JST Sales America Inc.,BM06B-SURS-TF
5,1,U1,TDK InvenSense,ICM-20948
6,2,"U2, U3",Texas Instruments,DRV8837DSGR
7,1,U4,Microchip Technology,MCP73831T-2ACI/OT
8,1,U5,Texas Instruments,TPS79718DCKR
9,1,U9,Texas Instruments,TXB0106PWR
10,1,U10,Analog Devices Inc.,LTC4412IS6#TRPBF
11,1,U11,STMicroelectronics,STM32G0B1KEU6
12,2,"L1, L2",Murata Electronics,LQG15HH18NJ02D
13,1,R4,Panasonic Electronic Components,ERJ-2GEJ392X
14,1,R5,Panasonic Electronic Components,ERJ-2GEJ104X
15,8,"C1, C2, C5, C15, C19, C20, C21, C37",Murata Electronics,GRM155R71A104KA01D
16,1,"C3, C13, C14",Murata Electronics,GRM155R60J105KE19D
17,1,C4,Murata Electronics,GRM155R61A474KE15D
18,3,"C6, C7, C8",Murata Electronics,GRM155D81A475ME15J
19,1,C36,Murata Electronics,GRM21BR71A475KE51L
20,1,Q2,Diodes Incorporated,DMG2305UX-13
21,1,D1,Vishay,BAT46W
